TempID,SiteID,Survey_Ref,Modern Name,Ancient Name,Local-Easting,Local-Northing,Easting-Long,Northing-Lat,SiteSize,PopulationEstimate,Regions-3,Regions-2,Region,GeologicType,SiteType,SiteFunction,BurialType,Reference,Period,Rainfall,Temperature,Elevation,Slope,Aspect,Cattle/km2,Goats/km2,Pigs/km2,Sheep/km2
13,52,ASI11/1-36,Hurvat 'Ein Hawra (West),,274000,785700,35.78916653,33.16529181,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,No Burials,Hartal 2017,Chalcolithic (undifferentiated),763,60.48500061,1009,5.449363709,140.8263397,15.3026,7.34156,0,87.2146
14,56,ASI14-11,Nahal Boqeq,,225792,568397,35.27091952,31.20704701,,,Poor for Agriculture,Negev,Eastern Negev,,Surface,Unknown,No Burials,Beit-Arieh in prep,Chalcolithic (undifferentiated),177,69.80000305,264,4.710553646,21.44773674,0,2.29063,2.94503,16.8356
15,58,ASI14-40,Nahal Qina,,215792,567196,35.16599039,31.19622641,,,Zone of Uncertainty,Negev,Eastern Negev,,Surface,Unknown,No Burials,Beit-Arieh in prep,Chalcolithic (undifferentiated),230,65.375,511,17.55688477,52.38604355,0,3.81863,3.78991,26.187
16,59,ASI14-47,Nahal Qina,,215492,566796,35.16284432,31.19261774,,,Zone of Uncertainty,Negev,Eastern Negev,,Surface,Unknown,No Burials,Beit-Arieh in prep,Chalcolithic (undifferentiated),230,65.375,459,13.18260288,248.3852234,0,3.81863,3.78991,26.187
17,60,ASI14-50,Giva'ot Masakh,,210092,565296,35.10620285,31.17905814,,,Zone of Uncertainty,Negev,Eastern Negev,,Surface,Pastoral,Tomb,Beit-Arieh in prep,Chalcolithic (undifferentiated),233,65.16499329,516,6.214656353,186.4993439,0,5.48098,5.10131,25.6865
18,61,ASI14-59,Nahal Hemar Cave,,218393,562796,35.19328511,31.15654691,,,Poor for Agriculture,Negev,Eastern Negev,,Stratified,Unknown,No Burials,Beit-Arieh in prep,Chalcolithic (undifferentiated),173,67.78999329,217,15.17789745,16.42218781,0,1.10166,2.87819,10.2066
19,67,ASI15-24,Dardara,,261400,774700,35.65358892,33.06667447,,,Refugia,Huleh Valley,Golan,,Surface,Unknown,No Burials,Hartal 2014,Chalcolithic (undifferentiated),551,66.05000305,221,21.34183311,267.3883057,17.7241,23.4705,0,56.9421
20,68,ASI15-29,Wadi ?Uyun Mukhladi,,265700,773600,35.6995782,33.05658228,1.2,300,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,No Burials,Hartal 2014,Chalcolithic (undifferentiated),619,64.09999847,523,3.971621752,247.9887238,10.1062,14.0246,0,83.9783
21,73,ASI15-39,Horvat Dvora; Dabura,,262400,772500,35.66419393,33.04679961,,,Refugia,Huleh Valley,Golan,,Stratified,Unknown,Tomb,Hartal 2014,Chalcolithic (undifferentiated),596,64.97000122,406,2.822595596,270,11.6222,14.8254,0,62.2186
22,76,ASI15-51,Spot Height 544 Horbat (East),,268400,770600,35.72832646,33.0294155,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Pastoral,No Burials,Hartal 2014,Chalcolithic (undifferentiated),609,63.69499969,548,4.863473415,236.8214874,9.78236,11.8393,0,97.7892
23,90,ASI18-4,Tel Mashshav (northwest),,250428,769530,35.53592337,33.02042727,,,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Unknown,Tomb,Stepansky 2012,Chalcolithic (undifferentiated),641,65.11999512,351,9.132526398,225,44.8992,22.5376,14.4132,49.9025
24,97,ASI18-19,Tel Hazor,,253478,769501,35.56856546,33.02007481,82,20500,Refugia,Upper Galilee,Upper Eastern Galilee,,Fortified,Pastoral,Cemetery,Stepansky 2012,Chalcolithic (undifferentiated),567,66.24499512,210,1.092813134,68.96248627,42.0752,9.84371,7.70951,40.3357
25,99,ASI18-21,Ard Qibliya,,254179,769301,35.57606042,33.01824941,4,1000,Refugia,Upper Galilee,Upper Eastern Galilee,,Surface,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),557,66.39499664,181,3.934475422,347.3474426,43.5029,9.84489,8.31252,42.0481
26,110,ASI18-89,En Yarda (north),,255379,768351,35.58886611,33.00964489,2,500,Refugia,Upper Galilee,Upper Eastern Galilee,,Surface,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),555,66.30499268,192,4.981144428,98.13010406,46.1497,10.88,8.29509,38.8565
27,111,ASI18-91,En Yarda (south),,255479,768251,35.58993232,33.00873994,1,250,Refugia,Upper Galilee,Upper Eastern Galilee,,Surface,Cultic,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),555,66.30499268,184,3.618373632,4.969740868,46.1497,10.88,8.29509,38.8565
28,113,ASI18-114,Kefar Ya'aqov',,259579,768551,35.6338203,33.01130164,20,5000,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),524,66.5,124,7.811460018,284.4524231,11.7431,14.4451,0,67.5618
29,115,ASI18-122,Ein 'Akkar,,251679,767450,35.54923944,33.0016367,10,2500,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),628,65.22499847,351,10.25470448,29.47588921,40.3339,17.9123,40.592,47.8046
30,116,ASI18-127,Nahal Qubba'at,,252229,767001,35.55510865,32.9975719,3,750,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Agricultural,Tomb,Stepansky 2012,Chalcolithic (undifferentiated),616,65.33000183,327,13.12810516,56.49656296,43.2273,18.3293,41.4026,53.7525
31,118,ASI18-143,Mezad 'Ateret,,258979,767801,35.62736713,33.00456126,,,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),497,67.05500031,73,5.63371563,181.5911407,13.2418,16.3504,0,69.9301
32,120,ASI18-159,Horbat Qetanna,,253999,766501,35.57402869,32.99300903,1,250,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),584,65.79499817,253,2.179198742,30.2564373,47.0909,17.9566,36.5819,54.4522
33,121,ASI18-160,Enot Shuv,,256129,766301,35.59681027,32.99113619,1.2,300,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Agricultural,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),565,65.98999786,231,6.129196644,95.85601044,68.0374,13.7054,28.7448,57.8597
34,123,ASI18-165,Horbat Arbel Yarden,,256959,766801,35.60571092,32.99561619,0.75,187.5,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Agricultural,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),548,66.25999451,199,13.44917965,323.8519897,61.8073,14.9959,35.668,60.4364
35,124,ASI18-171,Alman,,259329,766751,35.63106679,32.99508128,3,750,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Agricultural,Cemetery,Stepansky 2012,Chalcolithic (undifferentiated),502,66.97999573,133,8.950736046,269.5018005,15.2265,19.3567,0,73.9351
36,125,ASI18-187,Rosh Pinna,,250179,764100,35.53307685,32.97147462,4,1000,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Cultic,Cemetery,Stepansky 2012,Chalcolithic (undifferentiated),706,63.36500168,494,9.430350304,103.3487244,30.9423,11.0365,10.0759,52.9898
37,126,ASI18-189,Tel Ya'af,,252579,764151,35.55875095,32.97186427,3,750,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Agricultural,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),599,65.55500031,307,2.286528111,157.8336487,35.8926,13.7249,14.8581,53.1169
38,127,ASI18-208,En Mantur (north),,258079,764301,35.61758946,32.97303597,0.75,187.5,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),489,67.48999786,172,17.95022011,72.02463531,77.7678,27.625,25.999,64.517
39,128,ASI18-209,Mantur (northeast),,258109,764751,35.61792928,32.97709232,0.75,187.5,Refugia,Jordan Valley,Upper Eastern Galilee,,Surface,Pastoral,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),505,67.02500153,150,19.38290024,73.25802612,79.4236,27.931,25.3169,65.8991
40,129,ASI18-213,Rosh Pinna (east),,251959,763780,35.55210582,32.96853777,0.75,187.5,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),610,65.40499878,336,5.554380894,359.1930847,38.216,13.4758,13.9829,53.3049
41,130,ASI18-218,Tel Ya'af (south),,252729,763851,35.56034462,32.96915475,0.75,187.5,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Pastoral,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),599,65.55500031,302,0.248138979,18.43494797,35.8926,13.7249,14.8581,53.1169
42,131,ASI18-221,Horbat Shura (southwest),,253509,763501,35.56867492,32.96597491,0.75,187.5,Refugia,Upper Galilee,Upper Eastern Galilee,,Surface,Pastoral,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),599,65.61499786,310,0.894610703,52.12501526,37.9696,18.937,44.1081,51.4162
43,133,ASI18-230,Horbat Tuba,,257379,763001,35.61004807,32.96133909,15,3750,Refugia,Jordan Valley,Upper Eastern Galilee,,Surface,Agro-Pastoral,Cist grave,Stepansky 2012,Chalcolithic (undifferentiated),534,66.81499481,233,7.043059349,54.01932144,40.0815,18.2825,34.6593,68.2355
44,135,ASI18-234,En Mantur (south),,258079,763901,35.61757267,32.96942939,0.5,125,Refugia,Jordan Valley,Upper Eastern Galilee,,Surface,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),489,67.48999786,165,8.895292282,94.01417542,77.7678,27.625,25.999,64.517
45,136,ASI18-236,Nahal Rafid,,258929,763031,35.62662733,32.96155465,,,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),474,67.84999847,-9,23.35923958,242.2160797,14.7732,20.0482,0,82.1648
46,137,ASI18-241,Tel Nes,,252679,762701,35.55976828,32.95878725,,,Refugia,Upper Galilee,Upper Eastern Galilee,,Fortified,Pastoral,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),604,65.49499512,363,4.573812008,308.0470276,41.1701,18.8199,33.3355,61.8837
47,138,ASI18-249,Horbat Senunit,,254229,762801,35.57634966,32.95964065,2,500,Refugia,Upper Galilee,Upper Eastern Galilee,,Single Period,Pastoral,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),593,65.73500061,344,2.492208481,204.1455383,34.7816,19.9867,44.0275,48.7001
48,139,ASI18-266,Khirbet el Hammam,,258629,762301,35.62338762,32.95498343,1,250,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Pastoral,Cemetery,Stepansky 2012,Chalcolithic (undifferentiated),463,68.31500244,-34,4.80670929,120.3236084,75.1607,30.1163,23.7401,68.9581
49,141,ASI18-280,Horbat Duvshan,,252379,761000,35.5564989,32.94345917,25,6250,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Unknown,Cemetery,Stepansky 2012,Chalcolithic (undifferentiated),598,65.83999634,302,1.962524056,182.2906036,39.7442,21.6105,37.7275,55.9642
50,142,ASI18-283,Horbat Duvshan (east),,253059,761201,35.56377774,32.9452508,,,Refugia,Upper Galilee,Upper Eastern Galilee,,Single Period,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),590,65.98999786,289,5.341092587,148.1725464,41.6284,21.047,39.1465,54.3072
51,143,ASI18-292,En Karkom,,254479,761651,35.57897975,32.94926364,3,750,Refugia,Upper Galilee,Upper Eastern Galilee,,Surface (main),Pastoral,Dolmen,Stepansky 2012,Chalcolithic (undifferentiated),574,66.45500183,296,3.452014685,140.5275421,36.3355,13.8113,16.5348,54.7324
52,144,ASI18-296,Nahal Qela',,255929,761101,35.59446435,32.9442571,2,500,Refugia,Jordan Valley,Upper Eastern Galilee,,Single Period,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),559,66.875,256,5.870293617,228.2397003,41.5931,21.8223,20.3184,57.4644
53,145,ASI18-300,Horbat Sakhar,,256679,761851,35.60251473,32.9509942,0.75,187.5,Refugia,Jordan Valley,Upper Eastern Galilee,,Surface,Pastoral,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),555,66.68000031,258,2.275753737,91.97493744,33.8206,13.6775,19.5701,56.2446
54,146,ASI18-328,Horbat Zelef,,252179,760700,35.55434957,32.9407602,2.5,625,Refugia,Upper Galilee,Upper Eastern Galilee,,Single Period,Pastoral,Dolmen,Stepansky 2012,Chalcolithic (undifferentiated),568,66.36499786,275,5.000684738,162.6994781,48.1174,18.3477,40.3235,53.9338
55,147,ASI18-338,Horbat 'Eli,,254779,760551,35.58214579,32.93933578,0.7,175,Refugia,Upper Galilee,Upper Eastern Galilee,,Stratified,Pastoral,Dolmen,Stepansky 2012,Chalcolithic (undifferentiated),569,66.47000122,281,5.40226841,190.0079803,33.199,13.0877,17.2092,51.7636
56,148,ASI18-344,Nahal Or,,255779,760601,35.59284062,32.93975383,2,500,Refugia,Jordan Valley,Upper Eastern Galilee,,Stratified,Pastoral,Dolmen,Stepansky 2012,Chalcolithic (undifferentiated),540,66.97999573,233,2.201643467,184.0856171,40.8289,21.6123,20.2772,48.6636
57,149,ASI18-358,En Sufiya,,258579,760081,35.62275861,32.93496859,0.5,125,Refugia,Jordan Valley,Upper Eastern Galilee,,Surface,Unknown,No Burials,Stepansky 2012,Chalcolithic (undifferentiated),433,68.93000031,-131,9.492466927,153.2250824,115.253,59.0608,20.14,64.7823
58,151,ASI18/1-3,Ein Semsem (South),,266000,769700,35.7025923,33.02140606,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface (main),Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),586,64.56499481,432,5.649875641,201.9487,10.1612,11.8904,0,93.8958
59,152,ASI18/1-4,Height Spot 486 m (Northwest),,267900,769800,35.72293247,33.02222485,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),594,64.17500305,515,5.747971535,213.9062805,9.76715,10.4649,0,100.814
60,153,ASI18/1-6,Wadi el-'Araghrah (East),,268800,769400,35.73254334,33.01857796,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Pastoral,Dolmen,Hartal and Yigal 2012,Chalcolithic (undifferentiated),600,63.8900032,539,2.916690588,233.7461548,9.48375,11.0207,0,109.321
61,155,ASI18/1-8,Upper Nahal Qa?rin  1,,269650,769450,35.74164294,33.01898995,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),607,63.51499939,593,5.529143333,244.8851624,9.68925,11.972,0,129.079
62,156,ASI18/1-10,Upper Nahal Qa?rin  2,,269200,769400,35.73682422,33.01855977,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Pastoral,Dolmen,Hartal and Yigal 2012,Chalcolithic (undifferentiated),607,63.51499939,568,4.262730598,249.5671692,9.68925,11.972,0,129.079
63,157,ASI18/1-14,Height Spot 342 m,,263700,768000,35.67789436,33.00617413,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),557,65.49499512,330,1.984330416,251.5650482,11.2427,15.2384,0,69.3752
64,158,ASI18/1-16,Height Spot 436 m (Northwest),,266200,768600,35.70467681,33.01147957,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),576,64.7749939,418,2.635908842,300.3791199,10.4246,12.3384,0,84.6503
65,159,ASI18/1-17,Ahmadiyye (North),,266300,768400,35.70573675,33.00967202,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface (main),Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),576,64.7749939,423,2.666017771,241.9275055,10.4246,12.3384,0,84.6503
66,160,ASI18/1-19,Height Spot 478 m (East),,268000,768900,35.72395514,33.01410577,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,Dolmen,Hartal and Yigal 2012,Chalcolithic (undifferentiated),583,64.43000031,474,6.300843716,240.2551117,9.9288,11.6823,0,102.377
67,163,ASI18/1-25,F'ûra (pens),,264300,767500,35.68429042,33.00164144,,,Refugia,Anti-Lebanon Mountains,Golan,,Stratified,Agricultural,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),557,65.38999939,323,2.357961178,266.1859131,10.9705,13.9661,0,73.9667
68,164,ASI18/1-26,F'ûra Springs,,264750,767250,35.6890932,32.99936875,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Pastoral,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),550,65.5249939,333,3.371180296,252.4075775,10.2392,18.0567,0,64.985
69,165,ASI18/1-28,F'ûra (Northeast),,265300,767900,35.69501061,33.00520638,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Pastoral,Dolmen,Hartal and Yigal 2012,Chalcolithic (undifferentiated),564,65.16500092,367,1.331422091,225,10.6108,13.3413,0,77.9249
70,166,ASI18/1-29,F'ûra (East),,265400,767500,35.69606067,33.00159564,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),564,65.16500092,364,1.541297913,194.7435608,10.6108,13.3413,0,77.9249
71,167,ASI18/1-31,Tell Fanus (West),,267400,767300,35.7174506,32.99970627,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),563,64.74499512,416,4.354918003,232.3057556,10.1254,12.7259,0,86.0483
72,168,ASI18/1-32,Tell Fanus,,267850,767700,35.72228665,33.0032929,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,Dolmen,Hartal and Yigal 2012,Chalcolithic (undifferentiated),574,64.56499481,451,4.872242451,226.3019562,9.82402,11.34,0,108.467
73,169,ASI18/1-33,Tell Fanus (East),,268100,767400,35.72494586,33.00057689,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),574,64.56499481,457,3.926692009,241.3895416,9.82402,11.34,0,108.467
74,170,ASI18/1-34,Ghadir en-Nahas,,269500,767400,35.73992589,33.00051353,,,Refugia,Anti-Lebanon Mountains,Golan,,Fortified (?),Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),586,63.97999573,508,4.325352669,238.3245239,9.27428,11.7804,0,112.922
75,171,ASI18/1-35,Ghadir en-Nahas (South),,267200,767200,35.71530542,32.99881341,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),557,65,386,2.201643467,265.9143982,10.6044,13.9953,0,95.7746
76,172,ASI18/1-36,Ghadir en-Nahas (West),,269300,767400,35.73778589,33.00052269,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface (main),Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),586,63.97999573,506,1.615345955,209.0546112,9.27428,11.7804,0,112.922
77,173,ASI18/1-41,ed-Dura,,262300,766400,35.66283862,32.99180386,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),541,65.98999786,240,8.918717384,122.1643906,11.5553,18.7765,0,66.9736
78,175,ASI18/1-43,Seyl Umm er-Ra'yan,,265600,766800,35.69816555,32.99527577,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),555,65.31500244,362,2.560277939,220.0302582,10.9321,16.7322,0,74.5901
79,177,ASI18/1-47,Waterfalls Junction,,269900,766100,35.74413453,32.98877395,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Pastoral,Dolmen,Hartal and Yigal 2012,Chalcolithic (undifferentiated),573,64.03999329,508,2.666017771,241.9275055,6.44356,10.7273,0,96.4233
80,178,ASI18/1-48,Tell Sabih,,269300,766600,35.73774249,32.99330967,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),576,64.16000366,511,1.459290743,306.2538452,9.82881,13.4221,0,100.311
81,181,ASI18/1-55,el-Manshiyye,,265700,765800,35.69918519,32.98625519,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),543,65.50999451,332,1.649258971,267.2736816,10.3707,17.4129,0,66.5048
82,182,ASI18/1-57,Qa?rin  Junction (West),,267800,765400,35.72163065,32.98255762,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),546,65.02999878,388,3.231924534,230.9061432,10.2965,14.3099,0,74.9438
83,183,ASI18/1-59,Tell,,269000,765300,35.73446269,32.98160216,,,Refugia,Anti-Lebanon Mountains,Golan,,Stratified,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),555,64.56499481,446,3.092292309,210.4655457,10.1791,15.52,0,85.3862
84,185,ASI18/1-61,Seluqyye (South),,269100,765150,35.73552436,32.98024517,,,Refugia,Anti-Lebanon Mountains,Golan,,Surface,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),555,64.56499481,443,3.568945169,250.7693329,10.1791,15.52,0,85.3862
85,186,ASI18/1-62,Siyar el-Kherfin,,260800,764100,35.64668657,32.97112399,,,Refugia,Jordan Valley,Golan,,Surface,Unknown,Dolmen,Hartal and Yigal 2012,Chalcolithic (undifferentiated),504,66.96499634,156,5.0780797,245.4098816,12.0377,16.1152,0,74.3817
86,187,ASI18/1-66,el-Maj'' (Pens),,264950,765050,35.69112431,32.97952446,,,Refugia,Jordan Valley,Golan,,Surface (main),Pastoral,Cairns,Hartal and Yigal 2012,Chalcolithic (undifferentiated),524,66.05000305,267,3.478538036,284.3493347,10.9755,16.1492,0,68.5213
87,190,ASI18/1-70,Mitham Yahudyye,,268800,764500,35.73228022,32.97439818,,,Refugia,Jordan Valley,Golan,,Single Period,Pastoral,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),530,65.24000549,388,13.30159855,169.9920197,10.3502,14.8226,0,74.0375
88,192,ASI18/1-75,As'yye,,263500,763600,35.67554341,32.96651018,,,Refugia,Jordan Valley,Golan,,Stratified,Unknown,Cemetery,Hartal and Yigal 2012,Chalcolithic (undifferentiated),501,66.61999512,190,10.75667477,248.4286957,11.4743,16.7809,0,69.0187
89,194,ASI18/1-82,Height Spot 412 m,,269100,763700,35.73544612,32.96717152,,,Refugia,Anti-Lebanon Mountains,Golan,,Single Period,Unknown,Cairns,Hartal and Yigal 2012,Chalcolithic (undifferentiated),544,64.75999451,396,5.820429802,210.6997223,10.4649,14.8223,0,83.7033
90,195,ASI18/1-88,Khirbet esh-Sheikh Husayn (East),,266500,762600,35.70758024,32.95736865,,,Refugia,Jordan Valley,Golan,,Surface,Pastoral,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),501,66.08000183,259,7.891759872,142.2243195,11.1993,16.0383,0,67.7979
91,196,ASI18/1-89,Nahal Yahudyyeh and Mesil el-Ghname,,267900,762800,35.72256354,32.95911072,,,Refugia,Jordan Valley,Golan,,Surface,Unknown,No Burials,Hartal and Yigal 2012,Chalcolithic (undifferentiated),513,65.69000244,226,16.46093178,282.0391235,11.2952,14.9823,0,74.0566
